"enters TPV","Entra TPV"
"Redirecting the TPV please wait...","Redirigiendo al TPV por favor espere..."
"Error in TPV order canceled.","Error en TPV pedido cancelado."
"TPV payment accepted. (response: %s, authorization: %s)","Pago TPV aceptado. (respuesta: %s, autorizacion: %s)"
"TPV Error: %s","TPV Error: %s"
"Denied transaction from Redsys.","Transaccion denegada desde Redsys."
"Authorized transaction","Transaccion autorizada"
"Enters TPV","Entra TPV"
"Payment Confirmed TPV","Pago Confirmado TPV"
"Canceled TPV","Cancelado TPV"
"Invoice %s created","Factura %s creada"
"Failed: %s","Error: %s"
"Enabled","Habilitado"
"Devopensource.com Redsys TPV | Card Payment","Devopensource.com Redsys TPV | Pago con Tarjeta"
"Card Payment","Pago con Tarjeta"
"Title","Titulo"
"Production Enviroment","Entorno Real"
"Store Name","Nombre del comercio"
"FUC","Número del comercio(FUC)"
"SHA-256 Key","Clave secreta de encriptación (SHA-256)"
"Number of terminal","Número de terminal"
"Currency","Moneda"
"Transaction Type","Tipo de transacción"
"Use SSL","Usar SSL en validación"
"Create invoice automatically","Crear factura automáticamente"
"Only if payment is completed successfully","Solo si el pago es realizado con éxito"
"New order status","Nuevo estado del pedido"
"Order state validated by redsys","Estado para pedido validados por redsys"
"Order state canceled by redsys","Estado para pedido cancelado por redsys"
"Enabled languages","Activar idiomas"
"Description payment method","Descripción método de pago"
"Recovery cart","Recuperar Carrito"
"Url Callback","Url Callback"
"Change if necessary. Default: <strong>{{secure_base_url}}redsys/index/callback</strong>","Cambiar de ser estrictamente necesario. Por defecto: <strong>{{secure_base_url}}redsys/index/callback</strong>"
"If this field is empty it takes the data from the previous field","Si este campo esta vacío toma el dato del anterior campo"
"Url enviroment","Url Entorno"
"Real Enviroment: http://sis-d.redsys.es/sis/realizarPago/utf-8 Test Enviroment: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8","Entorno real: http://sis-d.redsys.es/sis/realizarPago/utf-8 Entorno pruebas: https://sis-t.redsys.es:25443/sis/realizarPago/utf-8"
"Module developed by <a href=""http://devopensource.com/"">Devopensource.com</a> if you need support contact with <a href=""mailto:info@devopensource.com"" >info@devopensource.com</a> or help us keep the module <a href=""https://github.com/DevopensourceTeam/Devopensource_Redsys"" >in github</a>. You can view the <a href=""https://github.com/DevopensourceTeam/Devopensource_Redsys/wiki"">documentation here</a>","Módulo desarollado por <a href=""http://devopensource.com/"">Devopensource.com</a> si necesitas soporte ponte en contacto con  <a href=""mailto:info@devopensource.com"" >info@devopensource.com</a> o ayúdanos a mantener el módulo <a href=""https://github.com/DevopensourceTeam/Devopensource_Redsys"" >en github</a>. Puedes ver la <a href=""https://github.com/DevopensourceTeam/Devopensource_Redsys/wiki"">documentacion aquí</a>"
"Enabled in developer restriction","Habilitado en la restricción de desarrolladores"
"(response:%s)","(respuesta:%s)"
"Display Error Messages Clients","Mostrar mensajes de error redsys a los clientes"
"Your version:","Tu versión:"
"Latest version stable:","Última versión estable:"
"Notify clients states","Notificar estados de pedido al cliente"
"Notify by email","Notificar por email"
"Notify by frontend","Notificar por frontend"
